Character,Devil Fruit,Class,Subclass,Awakened,Status
Rabbit gifter (chapter 916),Rabbit SMILE,SMILE,Artificial Zoan,No,Consumed
Rob Lucci,"Neko Neko No Mi, Model: Leopard",Zoan,Carnivorous Zoan,No,Consumed
Sabo,Mera Mera No Mi,Logia,Regular Logia,No,Consumed
Sakazuki,Magu Magu No Mi,Logia,Regular Logia,No,Consumed
Saki,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Sanjuan Wolf,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Scratchmen Apoo,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Sea Urchin gifter (chapter 810),Sea Urchin Smile,Smile,Artificial Zoan,No,Consumed
Sengoku,"Hito Hito No Mi, Model: Daibutsu",Zoan,Mythical Zoan,No,Consumed
Senor Pink,Sui Sui No Mi,Paramecia,Regular Paramecia,No,Consumed
Sharinguru,Shari Shari No Mi,Paramecia,Regular Paramecia,No,Consumed
Sheepshead,Sheep SMILE,SMILE,Artificial Zoan,No,Consumed
Shiki,Fuwa Fuwa No Mi,Paramecia,Regular Paramecia,No,Consumed
Shimotsuki Yasuie,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Shinobu,Juku Juku No Mi,Paramecia,Regular Paramecia,No,Consumed
Shiryu,Suke Suke No Mi,Paramecia,Regular Paramecia,No,Consumed
Shu,Sabi Sabi No Mi,Paramecia,Regular Paramecia,No,Consumed
Smiley,"Sara Sara No Mi, Model: Axolotl",Zoan,Regular Zoan,No,Free
Smoker,Moku Moku No Mi,Logia,Regular Logia,No,Consumed
Snake teacher (chapter 919),Snake Smile,Smile,Artificial Zoan,No,Consumed
Solitaire,Monkey Smile,Smile,Artificial Zoan,No,Consumed
Speed,Horse Smile,Smile,Artificial Zoan,No,Consumed
Stag Beetle gifter (chapter 810),Stag Beetle SMILE,SMILE,Artificial Zoan,No,Consumed
Streusen,Kuku Kuku No Mi,Paramecia,Regular Paramecia,No,Consumed
Sugar,Hobi Hobi No Mi,Paramecia,Regular Paramecia,No,Consumed
Tama (Human),(unnamed),Paramecia,Regular Paramecia,No,Consumed
Tamago,Tama Tama No Mi,(undetermined),(undetermined),No,Consumed
Toko,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Tony Tony Chopper,Hito Hito No Mi,Zoan,Regular Zoan,No,Consumed
Trafalgar D. Water Law,Ope Ope No Mi,Paramecia,Regular Paramecia,No,Consumed
Trebol,Beta Beta No Mi,Paramecia,Regular Paramecia,No,Consumed
Tsuru (Marine),Woshu Woshu No Mi,Paramecia,Regular Paramecia,No,Consumed
Urouge,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Vander Decken IX,Mato Mato No Mi,Paramecia,Regular Paramecia,No,Consumed
Very Good,Beri Beri No Mi,Paramecia,Regular Paramecia,No,Consumed
Viola,Giro Giro No Mi,Paramecia,Regular Paramecia,No,Consumed
Wapol,Baku Baku No Mi,Paramecia,Regular Paramecia,No,Consumed
Wolf gifter (chapter 809),Wolf Smile,Smile,Artificial Zoan,No,Consumed
Wolf gifter (chapter 943) #1,Wolf Smile,Smile,Artificial Zoan,No,Consumed
Wolf gifter (chapter 943) #2,Wolf Smile,Smile,Artificial Zoan,No,Consumed
X Drake,"Ryu Ryu No Mi, Model: Allosaurus",Zoan,Ancient Zoan,No,Consumed
Zala,Toge Toge No Mi,Paramecia,Regular Paramecia,No,Consumed
